MOOCterm	Term.Descr
1	Fall 1974
2	Fall 1981
3	Winter 1982
4	Fall 1982
5	Winter 1983
6	Summer 1983
7	Fall 1983
8	Winter 1984
9	Fall 1984
10	Winter 1985
11	Spring/Summer 1985
12	Summer 1985
13	Fall 1985
14	Winter 1986
15	Spring 1986
16	Summer 1986
17	Fall 1986
18	Winter 1987
19	Spring 1987
20	Summer 1987
21	Fall 1987
22	Winter 1988
23	Spring 1988
24	Summer 1988
25	Fall 1988
26	Winter 1989
27	Spring 1989
28	Spring/Summer 1989
29	Summer 1989
30	Fall 1989
31	Winter 1990
32	Spring 1990
33	Summer 1990
34	Fall 1990
35	Winter 1991
36	Spring 1991
37	Summer 1991
38	Fall 1991
39	Winter 1992
40	Summer 1992
41	Fall 1992
42	Winter 1993
43	Summer 1993
44	Fall 1993
45	Winter 1994
46	Summer 1994
47	Fall 1994
48	Winter 1995
49	Spring 1995
50	Summer 1995
51	Fall 1995
52	Winter 1996
53	Spring 1996
54	Summer 1996
55	Fall 1996
56	Winter 1997
57	Spring 1997
58	Summer 1997
59	Fall 1997
60	Winter 1998
61	Spring 1998
62	Summer 1998
63	Fall 1998
64	Winter 1999
65	Spring 1999
66	Spring/Summer 1999
67	Summer 1999
68	Fall 1999
69	Winter 2000
70	Spring 2000
71	Spring/Summer 2000
72	Summer 2000
73	Fall 2000
74	Winter 2001
75	Spring 2001
76	Spring/Summer 2001
77	Summer 2001
78	Fall 2001
79	Winter 2002
80	Spring 2002
81	Spring/Summer 2002
82	Summer 2002
83	Fall 2002
84	Winter 2003
85	Spring 2003
86	Spring/Summer 2003
87	Summer 2003
88	Fall 2003
89	Winter 2004
90	Spring 2004
91	Spring/Summer 2004
92	Summer 2004
93	Fall 2004
94	Winter 2005
95	Spring 2005
96	Spring/Summer 2005
97	Summer 2005
98	Fall 2005
99	Winter 2006
100	Spring 2006
101	Summer 2006
102	Fall 2006
103	Winter 2007
104	Spring 2007
105	Summer 2007
106	Fall 2007
107	Winter 2008
108	Spring 2008
109	Summer 2008
110	Fall 2008
111	Winter 2009
112	Spring 2009
113	Summer 2009
114	Fall 2009
115	Winter 2010
116	Spring 2010
117	Summer 2010
118	Fall 2010
119	Winter 2011
120	Spring 2011
121	Summer 2011
122	Fall 2011
123	Winter 2012
124	Spring 2012
125	Summer 2012
126	Fall 2012
127	Winter 2013
128	Spring 2013
129	Summer 2013
130	Fall 2013
131	Winter 2014
132	Spring 2014
133	Summer 2014
134	Fall 2014
135	Winter 2015
136	Spring 2015
137	Summer 2015
138	Fall 2015
139	Winter 2016
140	NA
